#,品牌ID,品牌名称,城市,平台,日期,门店ID,门店名称,GMV,下单人数,商家实收,商户补贴,平台补贴,无效订单数,曝光人数,有效订单数,进店人数
184,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-28,8260331,大世界店,0,,0,0,0,0,,0,
185,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-29,8165842,虹口足球场店,0,,0,0,0,0,,0,
186,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-29,8184590,五角场店,0,,0,0,0,0,,0,
187,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-29,8052557,真如店,0,,0,0,0,0,,0,
188,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-29,8223184,大宁店,0,,0,0,0,0,,0,
189,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-29,8106681,怒江路店,0,,0,0,0,0,,0,
190,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-29,8260331,大世界店,0,,0,0,0,0,,0,
191,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-30,8165842,虹口足球场店,0,,0,0,0,0,,0,
192,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-30,8184590,五角场店,0,,0,0,0,0,,0,
193,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-30,8052557,真如店,0,,0,0,0,0,,0,
194,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-30,8223184,大宁店,0,,0,0,0,0,,0,
195,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-30,8106681,怒江路店,0,,0,0,0,0,,0,
196,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-30,8260331,大世界店,0,,0,0,0,0,,0,
197,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-10-01,8165842,虹口足球场店,0,,0,0,0,0,,0,
198,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-10-01,8184590,五角场店,0,,0,0,0,0,,0,
199,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-10-01,8052557,真如店,0,,0,0,0,0,,0,
200,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-10-01,8223184,大宁店,0,,0,0,0,0,,0,
201,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-10-01,8106681,怒江路店,0,,0,0,0,0,,0,
202,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-10-01,8260331,大世界店,0,,0,0,0,0,,0,
203,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-10-02,8165842,虹口足球场店,0,,0,0,0,0,,0,
204,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-10-02,8184590,五角场店,0,,0,0,0,0,,0,
205,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-10-02,8052557,真如店,0,,0,0,0,0,,0,
206,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-10-02,8223184,大宁店,0,,0,0,0,0,,0,
207,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-10-02,8106681,怒江路店,0,,0,0,0,0,,0,
208,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-10-02,8260331,大世界店,0,,0,0,0,0,,0,
209,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-10-03,8165842,虹口足球场店,0,,0,0,0,0,,0,
210,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-10-03,8184590,五角场店,0,,0,0,0,0,,0,
211,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-10-03,8052557,真如店,0,,0,0,0,0,,0,
212,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-10-03,8223184,大宁店,0,,0,0,0,0,,0,
213,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-10-03,8106681,怒江路店,0,,0,0,0,0,,0,
214,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-10-03,8260331,大世界店,0,,0,0,0,0,,0,
